City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Zhuanghe,CN,2022-11-28 01:50:57,39.7008,122.9911,40.06,94,100,15.23
90,Barrow,US,2022-11-28 01:50:58,71.2906,-156.7887,-2.18,84,100,9.22
91,Nikolskoye,RU,2022-11-28 01:50:58,59.7035,30.7861,24.69,96,100,4.97
92,Cao Bang,VN,2022-11-28 01:46:33,22.6667,106.25,75.51,92,96,3.33
93,Boryslav,UA,2022-11-28 01:50:59,49.2867,23.4324,30.81,92,96,2.3
94,Guerrero Negro,MX,2022-11-28 01:51:59,27.9769,-114.0611,62.62,68,0,8.88
95,Ponta Do Sol,PT,2022-11-28 01:52:00,32.6667,-17.1,70.0,79,26,4.72
96,Airai,TL,2022-11-28 01:52:00,-8.9266,125.4092,73.08,65,90,2.95
97,Lorengau,PG,2022-11-28 01:52:00,-2.0226,147.2712,82.92,74,87,4.76
98,Savalou,BJ,2022-11-28 01:52:01,7.9281,1.9756,79.3,70,81,3.29
99,Samarai,PG,2022-11-28 01:52:01,-10.6167,150.6667,86.13,66,93,3.58
100,Kawalu,ID,2022-11-28 01:52:01,-7.3817,108.2082,80.02,76,99,3.02
101,Ilulissat,GL,2022-11-28 01:52:02,69.2167,-51.1,5.18,81,71,6.2
102,Prado,BR,2022-11-28 01:52:02,-17.3411,-39.2208,73.8,97,100,8.08
103,Mahebourg,MU,2022-11-28 01:52:02,-20.4081,57.7,71.26,83,75,2.3
104,Imbituba,BR,2022-11-28 01:52:03,-28.24,-48.6703,67.78,91,71,6.64
105,Esperance,AU,2022-11-28 01:52:03,-33.8667,121.9,60.82,62,100,7.25
106,Beringovskiy,RU,2022-11-28 01:52:04,63.05,179.3167,28.18,74,100,24.02
107,Butaritari,KI,2022-11-28 01:52:04,3.0707,172.7902,81.72,72,56,9.1
108,Westport,US,2022-11-28 01:49:26,41.1415,-73.3579,61.77,90,100,16.11
109,Georgetown,MY,2022-11-28 01:49:35,5.4112,100.3354,82.33,87,20,5.75
110,Namatanai,PG,2022-11-28 01:52:05,-3.6667,152.4333,87.08,62,86,7.72
111,Dikson,RU,2022-11-28 01:52:05,73.5069,80.5464,10.53,98,100,4.85
112,Cidreira,BR,2022-11-28 01:52:05,-30.1811,-50.2056,69.93,85,2,14.63
113,Coutances,FR,2022-11-28 01:52:06,49.05,-1.4333,48.63,89,99,9.95
114,Kristiansund,NO,2022-11-28 01:52:06,63.1115,7.732,50.65,46,40,10.36
